"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
361,"NCT02497235","A Phase 1 Positron Emission Tomography Study to Measure Cholesterol 24S-Hydroxylase Target Occupancy of TAK-935",,"Completed","Has Results","Epilepsy, Molecular Mechanisms of Pharmalogical Action, Protective Agents","Drug: TAK-935|Drug: [18F]MNI-792 (tracer)","Cholesterol 24S-Hydroxylase (CH24H) Brain Enzyme Occupancy as a Function of TAK-935 Plasma Concentration at 45 Minutes Post-TAK-935 Dose|CH24H Brain Enzyme Occupancy as a Function of TAK-935 Plasma Concentration at 2 Hours Post-TAK-935 Dose|CH24H Brain Enzyme Occupancy as a Function of TAK-935 Plasma Concentration at 10 Hours Post-TAK-935 Dose|CH24H Brain Enzyme Occupancy as a Function of TAK-935 Plasma Concentration at 24 Hours Post-TAK-935 Dose|Plasma Concentration of TAK-935 During Post-TAK-935 Dosing PET Scan Periods|Percent Change From Baseline in the AUEC24 for Plasma 24S Hydroxycholesterol (24HC)","Takeda","All","19 Years to 55 Years   (Adult)","Phase 1","11","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","TAK-935_1003|U1111-1170-0452","July 2015","December 2015","January 2016","July 14, 2015","April 11, 2017","April 11, 2017","New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT02497235"
362,"NCT00788801","Exploratory Positron Emission Tomography (PET) Study to Evaluate the Effects of ABT-614 on [11C]-(+)-PHNO Binding Potential to D3 Receptors in the Brain",,"Completed","No Results Available","Healthy Volunteers","Drug: ABT-614","D3 receptor occupancy as estimated by measuring ABT-614 induced changes in [11C]-(+)-PHNO BP","Abbott","Male","18 Years to 40 Years   (Adult)","Phase 1","11","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","M10-423","December 2008","March 2009","null","November 11, 2008","null","November 2, 2010","Site Reference ID/Investigator# 12201, Toronto, Ontario, Canada|Site Reference ID/Investigator# 13961, Toronto, Ontario, Canada","","https://ClinicalTrials.gov/show/NCT00788801"
363,"NCT01320787","18-F-Fluoroacetate as PET Imaging Agent",,"Withdrawn","No Results Available","Brain Cancer|Breast Cancer|Prostate Cancer","Drug: 18F-fluoroacetate","Biodistribution of 18F-Fluoroacetate","M.D. Anderson Cancer Center","All","18 Years and older   (Adult, Older Adult)","Phase 1","0","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","2009-0157|NCI-2011-01066","October 2014","October 2016","null","March 22, 2011","null","October 23, 2014","","","https://ClinicalTrials.gov/show/NCT01320787"
364,"NCT00396734","The Effects of Pharmacotherapy on Brain Mechanisms Underlying Cocaine Dependence.",,"Suspended","No Results Available","Opioid-Related Disorders|Cocaine-Related Disorders","Drug: Provigil (Modafinil)|Drug: Topamax (Topiramate)","Changes in cue-induced brain glucose metabolic activity (FDG) in PET after treatment.|Changes in DRD2 receptor density measured by 11 C Raclopride in PET after treatment.|Nr.of drug-free urine samples, time to first drug use, duration of longest abstinent period.|Craving and psychosocial functioning (e.g., employment status, criminal behavior).","Hadassah Medical Organization","All","20 Years to 50 Years   (Adult)","Not Applicable","40","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","281006-HMO-CTIL","April 2007","April 2011","April 2011","November 7, 2006","null","June 10, 2010","Hadassah Medical Organization, Jerusalem, Israel","","https://ClinicalTrials.gov/show/NCT00396734"
365,"NCT01661127","Clinical Study of PET/CT and Association With Metabolic Syndrome/Depressive Symptoms in Psoriasis",,"Unknown status","No Results Available","Psoriasis|Metabolic Syndrome|Depression","","Beck depression inventory scoring and Korean Hamilton depression scale scoring|Brain glucose uptake using PET/CT","Pusan National University Hospital","All","18 Years and older   (Adult, Older Adult)","","10","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","PNUHDM-psoriasis","June 2012","June 2015","December 2015","August 9, 2012","null","November 4, 2014","Department of dermatology, Pusan National University Hospital, Busan, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT01661127"
366,"NCT01231295","Isotopic Imaging for Prodromal Alzheimer's Disease","ISALP","Completed","No Results Available","Alzheimer Disease","","The difference between AUCs for PET and SPECT imaging","Centre Hospitalier Universitaire de Nīmes","All","70 Years and older   (Older Adult)","","143","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","PHRC-N/2009/POK-01|2009-013476-53","February 2011","September 2016","September 2016","November 1, 2010","null","February 1, 2017","CHU d'Amiens - Hôpital Sud, Amiens Cedex 1, France|CHU d'Angers - Hôtel-Dieu, Angers, France|CHU de Besançon - Hôpital Jean Minjoz, Besançon, France|CHU de Bordeaux - Groupe Hospitalier Pellegrin, Bordeaux, France|APHP - Hôpital Albert Chenevier, Creteil Cedex, France|APHP - Hôpital Charles Foix, Ivry Sur Seine Cedex, France|CHRU de Lille - Hôpital Claude Huriez, Lille, France|CHRU de Lille - Hôpital Roger Salengro, Lille, France|APHP - Hôpital Emile Roux, Limeil Brevannes Cedex, France|APHM - Hôpital La Timone Adultes, Marseille cedex 5, France|CHU de Montpellier - Hôpital Gui de Chauliac, Montpellier Cedex 5, France|CHU de Nancy - Hôpital Central, Nancy, France|CHU de Nice - Hôpitaux L'Archet 1 et 2, Nice, France|CHU de Nîmes - Hôpital Universitaire Carémeau, Nîmes Cedex 09, France|APHP - Groupe Hospitalier Pitié-Salpetrière, Paris cedex 13, France|APHP - Hôpital Lariboisière, Paris, France|APHP - Hôpital Broca, Paris, France|Groupe Hospitalier Paris Saint-Joseph, Paris, France|CHU de Poitiers, Poitiers, France|CHU de Reims - Hôpital Maison Blanche, Reims, France|CHU de Rouen - Hôpital Charles Nicolle, Rouen, France|CHRU de Strasbourg - Hôpital de Hautepierre, Strasbourg, France|CHRU de Toulouse - Hôpital Garonne, Toulouse cedex 9, France|CHRU de Toulouse - Hôpital Purpan, Toulouse Cedex 9, France|CHRU de Tours - Hôpital Bretonneau, Tours, France","","https://ClinicalTrials.gov/show/NCT01231295"
367,"NCT00767871","Changes of Cerebral Glucose Metabolism and After 12 Weeks of Escitalpram Treatment in Panic Disorder",,"Completed","No Results Available","Panic Disorder","Drug: Lexapro","18FDG-PET, PDSS & HAM-A","Samsung Medical Center|H. Lundbeck A/S","All","20 Years to 60 Years   (Adult)","Phase 4","46","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","SMCIRB2007-01-024","March 2007","August 2007","December 2008","October 7, 2008","null","July 25, 2011","Samsung Medical Center, Seoul, Korea, Republic of","","https://ClinicalTrials.gov/show/NCT00767871"
368,"NCT01044615","Advanced Imaging Tools in the Study of Mild Traumatic Brain Injury","mTBI","Completed","No Results Available","Mild Traumatic Brain Injury","","","Kettering Health Network|University of Cincinnati","All","18 Years to 55 Years   (Adult)","","20","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","mTBI","December 2010","null","null","January 8, 2010","null","January 14, 2013","Kettering Health Network, Kettering, Ohio, United States","","https://ClinicalTrials.gov/show/NCT01044615"
369,"NCT00970333","Evaluation of [18F] FEPPA and PET Imaging as a Marker of Inflammation in Subjects With Neurological Conditions",,"Completed","No Results Available","Alzheimer Disease|Parkinson Disease|Multiple Sclerosis","Drug: [18F]-FEPPA","The primary imaging outcome measure will be the brain regional distribution volumes expressed as a brain tissue to plasma ratio of the radioligand, [18F]-FEPPA.","Institute for Neurodegenerative Disorders","All","18 Years and older   (Adult, Older Adult)","Phase 1","3","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","FEPPA 001","August 2009","October 2010","October 2010","September 2, 2009","null","February 8, 2012","Instiute for Neurodegenerative Disorders, New Haven, Connecticut, United States","","https://ClinicalTrials.gov/show/NCT00970333"
370,"NCT03219073","Transcranial Direct Current Stimulation to Lower Neuropathic Pain in People With Multiple Sclerosis",,"Terminated","No Results Available","Multiple Sclerosis|Neuropathic Pain","Device: Active tDCS using tDCS device|Device: SHAM tDCS using tDCS device","PET FDG uptake in patients with MS with neuropathic pain|Change in neuropathic pain as recorded on a Visual Analog Scale (VAS).|Change in Quality of Life using MSQOL-54|Change in anxiety as recorded on a Visual Analog Scale (VAS).|Neuropathic Symptom Inventory","University of Colorado, Denver","All","18 Years to 65 Years   (Adult, Older Adult)","Not Applicable","1","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Treatment","17-0690","February 1, 2018","June 16, 2018","July 1, 2018","July 17, 2017","null","July 16, 2018","University of Colorado Denver, Aurora, Colorado, United States","","https://ClinicalTrials.gov/show/NCT03219073"
371,"NCT02798588","Improving Awakening Prognostication After Non Anoxic Coma Using PET-MRI in Intensive Care Unit","ETIC","Recruiting","No Results Available","Coma","Radiation: PET-MRI","Analysis of feasibility (pilot study) with Number of patients included during a 12-months period|Analysis of feasibility (pilot study) with ratio of patient included vs patient admissible according to the screening|Analysis of feasibility (pilot study) with respect of deadline for completion of PET MRI|Analysis of security (pilot study) with tolerance of the PET-MRI|Unfavorable clinical evolution towards awareness (dichotomic criteria : absence of awareness with functional communication)|Unfavorable clinical evolution in absence of awareness (ordinal criteria within unfavorable outcome) with Coma Recovery Scale-Revised|Functional clinical evolution in presence of awareness (ordinal criteria within favorable outcome) according to Glasgow Outcome Scale (GOS)","Hospices Civils de Lyon","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","27","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","69HCL15_0669|2015-A01886-43","February 16, 2017","August 16, 2020","August 16, 2020","June 14, 2016","null","July 26, 2018","Réanimation polyvalente neurologique Hôpital Neurologique HCL, Bron, France","","https://ClinicalTrials.gov/show/NCT02798588"
372,"NCT02148783","Dopamine Receptor Imaging to Predict Response to Stimulant Therapy in Chronic TBI",,"Unknown status","No Results Available","Traumatic Brain Injury","Drug: methylphenidate|Drug: Placebo","Relationship between tonic dopamine release (measured by displacement of [11C]-raclopride by oral methylphenidate) and change in processing speed between baseline and after methylphenidate treatment.|Relationship between D2/D3 receptor availability in ventral striatum and prefrontal cortex and neuropsychologic deficits.|Relationship between tonic dopamine release in the ventral striatum and prefrontal cortex with neuropsychologic deficits after TBI.|Relationship between D2/D3 receptor availability and functional connectivity of the prefrontal cortex with nodes of the default mode network.|Relationship between TMS-induced short-interval cortical inhibition of M1 and tonic dopamine release.|Test motivation and reward on and off methylphenidate in TBI patients.","Uniformed Services University of the Health Sciences|National Institutes of Health (NIH)","All","18 Years to 55 Years   (Adult)","Phase 2","30","U.S. Fed|NIH","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","402693-1|HJF grant","September 2014","June 2015","June 2017","May 28, 2014","null","May 28, 2014","National Institutes of Health, Clinical Center., Bethesda, Maryland, United States","","https://ClinicalTrials.gov/show/NCT02148783"
373,"NCT01075035","Multimodal Neurodiagnostic Imaging of Traumatic Brain Injury and Post-Traumatic Stress Disorder","SANIC","Completed","No Results Available","Traumatic Brain Injury|Post-Traumatic Stress Disorder","","Neurocognitive Testing (PET/CT, MEG, fMRI w/ DTI)results","St. Louis University|United States Department of Defense","All","18 Years and older   (Adult, Older Adult)","","224","Other|U.S. Fed","Observational","Observational Model: Case Control|Time Perspective: Prospective","PT075832-R01|A-15194|IRB # 15919","August 2008","August 2014","August 2014","February 24, 2010","null","December 11, 2015","Saint Louis University, St. Louis, Missouri, United States","","https://ClinicalTrials.gov/show/NCT01075035"
